product_name,price_per_unit,quantity,unit,seller,date,margin,sim_id
Aguacate Hass,46.9922550729991,1,kg,local_market_29.8,2026-02-13,0.298245321121067,1
Aguacate Hass,46.8700062250844,1,kg,local_market_33.2,2026-02-13,0.331620280374773,2
Aguacate Hass,44.0651906891126,1,kg,local_market_24.3,2026-02-13,0.242605500889476,3
Aguacate Hass,46.7442380859584,1,kg,local_market_27.9,2026-02-13,0.278730957512744,4
Aguacate Hass,43.7323934643768,1,kg,local_market_24.4,2026-02-13,0.244415803963784,5
Aguacate Hass,46.5707716899801,1,kg,local_market_25.5,2026-02-13,0.254584331449587,6
Aguacate Hass,41.8516658141668,1,kg,local_market_15.3,2026-02-13,0.152664461266249,7
Aguacate Hass,45.7149489842112,1,kg,local_market_28.3,2026-02-13,0.283073810546193,8
Aguacate Hass,45.9300518150534,1,kg,local_market_25.8,2026-02-13,0.25804015409667,9
Aguacate Hass,40.780459384125,1,kg,local_market_17.3,2026-02-13,0.173420379962772,10
Aguacate Hass,46.616433143609,1,kg,local_market_28.9,2026-02-13,0.288944978418294,11
Aguacate Hass,45.9007648146499,1,kg,local_market_29.8,2026-02-13,0.297557122225408,12
Aguacate Hass,40.9863254726116,1,kg,local_market_16.7,2026-02-13,0.166785285843071,13
Aguacate Hass,41.8975780769026,1,kg,local_market_16.2,2026-02-13,0.161886963329744,14
Aguacate Hass,42.4826024981707,1,kg,local_market_18.9,2026-02-13,0.18905062895501,15
Aguacate Hass,45.6469930296298,1,kg,local_market_26.2,2026-02-13,0.261606940859929,16
Aguacate Hass,43.7447045923567,1,kg,local_market_19.3,2026-02-13,0.192860921763349,17
Aguacate Hass,46.9124871067115,1,kg,local_market_39.2,2026-02-13,0.391633573314175,18
Aguacate Hass,44.4145937910069,1,kg,local_market_22.8,2026-02-13,0.227666607452557,19
Aguacate Hass,45.8756913450399,1,kg,local_market_30.4,2026-02-13,0.303616598923691,20
Aguacate Hass,41.620817097913,1,kg,local_market_25.8,2026-02-13,0.257765196764376,21
Aguacate Hass,43.4684392684104,1,kg,local_market_22.1,2026-02-13,0.221381772868335,22
Aguacate Hass,44.0589325389699,1,kg,local_market_23.6,2026-02-13,0.235537836770527,23
Aguacate Hass,44.8907619589911,1,kg,local_market_24.7,2026-02-13,0.246656906884164,24
Aguacate Hass,49.1816294193306,1,kg,local_market_39.2,2026-02-13,0.391881869733334,25
Aguacate Hass,42.9387296680125,1,kg,local_market_23.1,2026-02-13,0.230506681872066,26
Aguacate Hass,46.3323577710504,1,kg,local_market_31.3,2026-02-13,0.313307363691274,27
Aguacate Hass,43.6248250158925,1,kg,local_market_22.1,2026-02-13,0.220825874921866,28
Aguacate Hass,49.3517010910665,1,kg,local_market_34.7,2026-02-13,0.346856979804579,29
Aguacate Hass,45.5069838111686,1,kg,local_market_29.9,2026-02-13,0.298980158788618,30
Aguacate Hass,42.3544483043023,1,kg,local_market_16.5,2026-02-13,0.16464911561925,31
Aguacate Hass,46.3639137164023,1,kg,local_market_27.7,2026-02-13,0.277474965003785,32
Aguacate Hass,44.8892738199277,1,kg,local_market_26.6,2026-02-13,0.26644810740836,33
Aguacate Hass,44.781231178275,1,kg,local_market_26.7,2026-02-13,0.267339773452841,34
Aguacate Hass,46.753544592077,1,kg,local_market_24,2026-02-13,0.239936343021691,35
Aguacate Hass,49.2660485018729,1,kg,local_market_32.8,2026-02-13,0.328352588263806,36
Aguacate Hass,43.2036770456597,1,kg,local_market_17.9,2026-02-13,0.179078870429657,37
Aguacate Hass,45.2429798087445,1,kg,local_market_34.6,2026-02-13,0.34599815516267,38
Aguacate Hass,46.7759093785882,1,kg,local_market_31.1,2026-02-13,0.310535177623387,39
Aguacate Hass,48.7747175119462,1,kg,local_market_35.1,2026-02-13,0.351275228348095,40
Aguacate Hass,46.8708962519946,1,kg,local_market_31,2026-02-13,0.310299464594573,41
Aguacate Hass,45.7494701040058,1,kg,local_market_23.2,2026-02-13,0.23212291134987,42
Aguacate Hass,45.0172731348279,1,kg,local_market_30.9,2026-02-13,0.308922738628462,43
